Label,Authors,Year,Journal,DOI,N_sample_PD,Age_PD_Min,Age_PD_Max,Age_PD_Mean,Age_PD_SD,UPDRS_ON_Mean,UPDRS_ON_SD,UPDRS_ON_Median,UPDRS_ON_IQR,UPDRS_OFF_Mean,UPDRS_OFF_SD,UPDRS_OFF_Median,UPDRS_OFF_IQR,HnY_Mean,HnY_SD,HnY_Median,HnY_IQR,HnY_Min,HnY_Max,Med_Status_Scan,N_HC,Age_HC_mean,Age_HC_sd,Study_Design,Primary_Focus,Focus_Specification,Data_Source,Data_Source_Institution,Paradigm_Type,Task_Description,TR_ms,TE_ms,Number_Volumes,Length_Scan_Minutes,Voxel_Size,Field_Strength,Motion_Params,Regress_WM_CSF,Regress_CompCor,Regress_ICA_AROMA,Detrending,Despiking,Scrubbing,Exclusion_Mean_FD_mm,Exclusion_Max_FD_mm,Exclusion_Max_Translation_mm,Exclusion_Max_Rotation_deg,Exclusion_Outlier_Frames_percent,Exclusion_Other,GSR,Spatial_Smoothing,Filter_Type,Low_Cutoff_Hz,High_Cutoff_Hz,Filter_Step_2_Type,Low_Cutoff_2_Hz,High_Cutoff_2_Hz,Brain_Mapping,Number_Networks,Number_Areas,Network_Areas,Parcellation_Methods,dFC_Methods,Window_Size_Seconds,Window_Shift_Second,Clustering_Methods,Number_States,Number_States_Criteria,State_Features,Graph_Measures,Data_Availability,Code_Availability,Identified_States_Description,Integration_State_Findings,Segregation_State_Findings,State_Pattern_Conclusion,Transition_Findings,Transition_Pattern_Conclusion,Proposed_Biomarker_Summary_Cleaned,Limitations
X36623929,Chu C; Liu S; He N; Zeng Z; Wang J; Zhang Z; Zeljic K; van der Stelt O; Sun B; Yan F; Liu C; Li D; Zhang C,2023,Brain: A Journal of Neurology,10.1093/brain/awad004,27,Not reported,Not reported,64.8,7.6,32.9,10.9,Not reported,Not reported,54.3,16.2,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,OFF state,16,60.3,7.4,Longitudinal,Intervention Response,DBS Stimulation,Private,Shanghai Ruijin Hospital,Resting-state,Not applicable,2100,40,210,7.35,3x3x3,1.5,24p,Yes,No,No,Yes,No,No,Not reported,Not reported,Not reported,Not reported,Not reported,First 10 volumes removed,Not reported,FWHM = 6,Band-pass,0.009,0.08,Not reported,Not reported,Not reported,AREAS,Not applicable,12,Caudate; Cerebellar hemisphere; Cerebellar vermis; Globus Pallidus externa (GPe); Globus Pallidus interna (GPi); Key motor areas; Motor thalamus; Paracentral lobule; Postcentral gyrus; Precentral gyrus; Putamen; Subthalamic Nucleus (STN); Supplementary Motor Area (SMA),ATLAS,Hidden Markov Model,Not applicable,Not applicable,Hidden Markov Model,8,Elbow,Dynamic FC variance; Dwell time; Fraction time; Frequency; State-transition probability,Not reported,Upon request,https://codeload.github.com/qiuqiangkong/matlabhmm/zip/refs/heads/master,Activation-based states: States 1-3 (Positive activation); State 4 (Mean activation); States 5-8 (Negative activation),Increased coverage in states with positive motor network activation is related to improved motor performance.,STN-DBS reduced abnormal segregation and low connectivity in motor network,Integration associated with better outcomes / Segregation with worse,Increased transition probabilities are related to improved motor performance scores.,More transitions associated with better outcomes,STN-DBS modulates whole-brain motor network states; providing a mechanistic explanation for its therapeutic effects on motor symptoms.,Motor-region focus; DBS-induced transitions hard to interpret; Limited temporal resolution
X38958131,Asendorf AL; Theis H; Tittgemeyer M; Timmermann L; Fink GR; Drzezga A; Eggers C; Ruppert-Junck MC; Pedrosa DJ; Hoenig MC; van Eimeren T,2024,Human Brain Mapping,10.1002/hbm.26776,63,50,78,63.6,7.9,Not reported,Not reported,Not reported,Not reported,23,Not reported,23,17,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,OFF state,16,66.3,7.4,Cross-sectional,General PD Characteristics,General PD vs HC,Public ,PPMI,Resting-state,Not applicable,2400,25,210,8.4,3.3x3.3x3.3,3,6p,Yes,No,No,Yes,No,Yes,Not reported,1.65,Not reported,Not reported,Not reported,"Excluded subjects with artifacts, phantoms, tilted planes, or cortex cuts",Not reported,FWHM = 8,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,WHOLE BRAIN,Not applicable,57,Not applicable,ICA,Sliding window,44,2.4,K-mean,3,Elbow,Dwell time; Fraction time; Number of transitions,Not reported,https://www.ppmi-info.org/,https://github.com/Asendorfa/Handling-GIFT,State 1 (Globally integrated; least frequent); State 2 (More connected); State 3 (Lesser connected/Segregated; most frequent),Spending more time in integrated/connected states is related to higher motor performance.,Not Applicable,Integration associated with better outcomes / Segregation with worse,A high number of transitions is related to better motor performance.,More transitions associated with better outcomes,A greater presence of integrated states and more frequent state transitions are linked to better motor performance.,Methodological/scanner-parameter variability
X38958131,Asendorf AL; Theis H; Tittgemeyer M; Timmermann L; Fink GR; Drzezga A; Eggers C; Ruppert-Junck MC; Pedrosa DJ; Hoenig MC; van Eimeren T,2024,Human Brain Mapping,10.1002/hbm.26776,52,50,83,66.8,8,Not reported,Not reported,Not reported,Not reported,25,Not reported,25,11.5,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,OFF state,17,65.1,7.1,Cross-sectional,General PD Characteristics,General PD vs HC,Private,University of Cologne; Max Planck Institute for Metabolism Research,Resting-state,Not applicable,776,37.4,617,7.979866667,2x2x2,3,6p,Yes,No,No,Yes,No,Yes,Not reported,1,Not reported,Not reported,Not reported,"Excluded subjects with artifacts, phantoms, tilted planes, or cortex cuts",Not reported,FWHM = 8,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,WHOLE BRAIN,Not applicable,57,Not applicable,ICA,Sliding window,44,0.776,K-mean,3,Elbow,Dwell time; Fraction time; Number of transitions,Not reported,Upon request,Not reported ,State 1 (Globally integrated; least frequent); State 2 (More connected); State 3 (Lesser connected/Segregated; most frequent),Spending more time in integrated/connected states is related to higher motor performance.,Not Applicable,Integration associated with better outcomes / Segregation with worse,A high number of transitions is related to better motor performance.,More transitions associated with better outcomes,A greater presence of integrated states and more frequent state transitions are linked to better motor performance.,Methodological/scanner-parameter variability
X37363818,Dirkx MF; Shine JM; Helmich RC,2023,Movement Disorders,10.1002/mds.29506,40,Not reported,Not reported,63.3,3.2,Not reported,Not reported,Not reported,Not reported,44.7,17.4,Not reported,Not reported,Not reported,Not reported,2,Not reported,1,3,OFF state,Not reported ,Not reported,Not reported,Cross-sectional,Motor Subtype,Tremor-dominant,Private,Donders Institute for Brain Cognition and Behaviour; Radboud University,Resting-state,Not applicable,859,34,700,10.02166667,2.2x2.2x2.2,3,Not reported,Yes,Yes,No,No,No,No,Not reported,2.2,Not reported,Not reported,Not reported,Not reported,Not reported,FWHM = 5 and FWHM = 4,Band-pass,0.002,0.125,Not reported,Not reported,Not reported,WHOLE BRAIN,Not applicable,375,Not applicable,Gordon cortical; Harvard-Oxford subcortical; SUIT cerebellar,Multiplication of temporal derivative metric,21,Not applicable,Multiplication of temporal derivative metric,3,Elbow,Not applicable,Between-module connections; Modularity,https://data.donders.ru.nl/?1,Not reported ,Event-based states: Rest; Pre-tremor; Tremor,Higher integration is related to higher tremor amplitude.,Not Applicable,Integration associated with worse outcomes / Segregation with better,"Cerebral integration increases before, followed by cofluctuating arousal and tremor amplitude",Not Applicable,Integrative brain states are related to tremor severity; therapies could aim to reduce excessive integration.,Limited temporal resolution; Head-motion artifacts
X39243826,Shen B; Yao Q; Li W; Dong S; Zhang H; Zhao Y; Pan Y; Jiang X; Li D; Chen Y; Yan J; Zhang W; Zhu Q; Zhang D; Zhang L; Wu Y,2024,Neurobiology of Disease,10.1016/j.nbd.2024.106659,21,Not reported,Not reported,59.43,4.71,16.67,9.16,Not reported,Not reported,29.48,16.62,Not reported,Not reported,2.76,0.98,Not reported,Not reported,Not reported,Not reported,ON state,29,59.45,4.76,Cross-sectional,Motor Subtype,Tremor-dominant,Private,Nanjing Medical University,Resting-state,Not applicable,2000,30,240,8,3x3x3,3,24p,Yes,No,No,Yes,Yes,No,Not reported,Not reported,3,3,Not reported,Not reported,Not reported,FWHM = 8,Band-pass,0.01,0.08,Low-pass,0.01,0.15,NETWORKS,3,15,Basal Ganglia (BG); Cerebellum (CB); Sensorimotor Network (SMN),ICA,Sliding window,44,2,K-mean,4,Elbow,Dwell time; Fraction time; Number of transitions,Not reported,Upon request,Not reported ,State 4 (Integrated; least frequent); State 2 (Segregated; most frequent); States 1 and 3 (Intermediate),TDPD patients spent less mean dwell time in highly interconnected state 4.,PD is associated with spending more time in a segregated state.,Integration associated with better outcomes / Segregation with worse,A higher number of transitions is related to better motor performance.,More transitions associated with better outcomes,Persisting in sparse-connectivity (segregated) states is related to greater tremor severity. Hyperconnectivity between the Cerebellar (CB) and Sensorimotor (SMN) networks may be compensatory.,ON state only; Small sample
X36229900,Si Q; Gan C; Zhang H; Cao X; Sun H; Wang M; Wang L; Yuan Y; Zhang K,2023,CNS Neuroscience and Therapeutics,10.1111/cns.13994,41,Not reported,Not reported,61.83,9.29,21.27,9.27,Not reported,Not reported,37.07,14.5,Not reported,Not reported,2.52,0.51,Not reported,Not reported,Not reported,Not reported,OFF and ON state,Not reported ,Not reported,Not reported,Longitudinal,Intervention Response,Levodopa-induced Dyskinesia,Private,Nanjing Medical University,Resting-state,Not applicable,2000,21,240,8,4x4x4,3,6p,No,No,No,Yes,Yes,No,0.5,Not reported,3,3,Not reported,Not reported,Not reported,FWHM = 6,Band-pass,Not reported,0.1,Not reported,Not reported,Not reported,NETWORKS,7,22,Auditory Network (AUD); Basal Ganglia (BG); Central Executive Network (CEN); Cerebellum (CB); Default Mode Network (DMN); Sensorimotor Network (SMN); Visual Network (VIS),ICA,Sliding window,60,2,K-mean,5,Elbow,Dwell time; Fraction time; Number of transitions,Not reported,Upon request,Not reported ,State 1 (Integrated; least frequent); State 5 (Segregated; most frequent); States 2-4 (Intermediate with specific network features),More time spent in an integrated state is related to lower motor performance (appearance of LID) and severer dyskinesia.,Not Applicable,Integration associated with worse outcomes / Segregation with better,Not Applicable,Not Applicable,Dyskinesia in PD may be explained by weak inhibition of motor loops by the Cognitive Control Network (CEN) combined with over-excitation in VIS and SMN.,ON state only
X36229900,Si Q; Gan C; Zhang H; Cao X; Sun H; Wang M; Wang L; Yuan Y; Zhang K,2023,CNS Neuroscience and Therapeutics,10.1111/cns.13994,34,Not reported,Not reported,60.53,7.99,17.41,12.84,Not reported,Not reported,31.15,15.86,Not reported,Not reported,2.34,0.56,Not reported,Not reported,Not reported,Not reported,OFF and ON state,Not reported ,Not reported,Not reported,Longitudinal,Intervention Response,Levodopa-induced Dyskinesia,Private,Nanjing Medical University,Resting-state,Not applicable,2000,21,240,8,4x4x4,3,6p,No,No,No,Yes,Yes,No,0.5,Not reported,3,3,Not reported,Not reported,Not reported,FWHM = 6,Band-pass,Not reported,0.1,Not reported,Not reported,Not reported,NETWORKS,7,22,Auditory Network (AUD); Basal Ganglia (BG); Central Executive Network (CEN); Cerebellum (CB); Default Mode Network (DMN); Sensorimotor Network (SMN); Visual Network (VIS),ICA,Sliding window,60,2,K-mean,5,Elbow,Dwell time; Fraction time; Number of transitions,Not reported,Upon request,Not reported ,State 1 (Integrated; least frequent); State 5 (Segregated; most frequent); States 2-4 (Intermediate with specific network features),More time spent in an integrated state is related to lower motor performance (appearance of LID) and severer dyskinesia.,Not Applicable,Integration associated with worse outcomes / Segregation with better,Not Applicable,Not Applicable,Dyskinesia in PD may be explained by weak inhibition of motor loops by the Cognitive Control Network (CEN) combined with over-excitation in VIS and SMN.,ON state only
X35237143,Xu J; Yu M; Wang H; Li Y; Li L; Ren J; Pan C; Liu W,2021,Frontiers in Aging Neuroscience,10.3389/fnagi.2021.789785,21,Not reported,Not reported,59.33,5.73,Not reported,Not reported,Not reported,Not reported,28.57,8.97,Not reported,Not reported,Not reported,Not reported,2,1.5-2,Not reported,Not reported,OFF state,43,59.44,5.86,Cross-sectional,Clinical Phenotype,Depression,Private,Nanjing Medical University,Resting-state,Not applicable,2000,30,240,8,3x3x3,3,12p,No,No,No,Yes,Yes,No,0.5,Not reported,3,3,Not reported,poor MRI image quality,Not reported,FWHM = 6,Low-pass,Not reported,0.15,Not reported,Not reported,Not reported,NETWORKS,6,37,Auditory Network (AUD); Basal Ganglia (BG); Central Executive Network (CEN); Default Mode Network (DMN); Sensorimotor Network (SMN); Visual Network (VIS),ICA,Sliding window,44,2,K-mean,4,Elbow,Dwell time; Fraction time; Number of transitions,Betweenness centrality; Clustering coefficient; Global efficiency; Local efficiency; Small-worldness,Upon request,Not reported ,State 3 (Integrated; least frequent); State 1 (Segregated; most frequent); State 2 (DMN-dominated); State 4 (VIS-SMN connected),Spending more time in a DMN-related state is associated with dementia.,Not Applicable,Neutral/Descriptive Finding,Not Applicable,Not Applicable,Depression in PD may be linked to time-varying disruptions between the DMN and CEN; as well as abnormal dynamic graph metrics.,Small sample; Short scan; Disease duration uncontrolled
X35237143,Xu J; Yu M; Wang H; Li Y; Li L; Ren J; Pan C; Liu W,2021,Frontiers in Aging Neuroscience,10.3389/fnagi.2021.789785,34,Not reported,Not reported,59.79,8.4,Not reported,Not reported,Not reported,Not reported,24.56,8.28,Not reported,Not reported,Not reported,Not reported,1.5,1.5-2,Not reported,Not reported,OFF state,43,59.44,5.86,Cross-sectional,Clinical Phenotype,Depression,Private,Nanjing Medical University,Resting-state,Not applicable,2000,30,240,8,3x3x3,3,12p,No,No,No,Yes,Yes,No,0.5,Not reported,3,3,Not reported,poor MRI image quality,Not reported,FWHM = 6,Low-pass,Not reported,0.15,Not reported,Not reported,Not reported,NETWORKS,6,37,Auditory Network (AUD); Basal Ganglia (BG); Central Executive Network (CEN); Default Mode Network (DMN); Sensorimotor Network (SMN); Visual Network (VIS),ICA,Sliding window,44,2,K-mean,4,Elbow,Dwell time; Fraction time; Number of transitions,Betweenness centrality; Clustering coefficient; Global efficiency; Local efficiency; Small-worldness,Upon request,Not reported ,State 3 (Integrated; least frequent); State 1 (Segregated; most frequent); State 2 (DMN-dominated); State 4 (VIS-SMN connected),Spending more time in a DMN-related state is associated with dementia.,Not Applicable,Neutral/Descriptive Finding,Not Applicable,Not Applicable,Depression in PD may be linked to time-varying disruptions between the DMN and CEN; as well as abnormal dynamic graph metrics.,Small sample; Short scan; Disease duration uncontrolled
X.WOS.000451095400001,Engels; Gwenda; Vlaar; Annemarie; McCoy; Bronagh; Scherder; Erik; Douw; Linda,2018,Frontiers in Aging Neuroscience,10.3389/fnagi.2018.00388,24,Not reported,Not reported,63.42,7.93,Not reported,Not reported,Not reported,Not reported,21.08,8.31,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,OFF state,27,59.37,8.54,Cross-sectional,General PD Characteristics,General PD vs HC,Private,VU University Medical Center; OLVG Hospital; Zaans Medical Center,Resting-state,Not applicable,2150,35,202,7.238333333,3.75x3.75x3.75,3,12p,No,No,No,No,No,Yes,Not reported,1.5,Not reported,Not reported,Not reported,Compliance reported; Time-point censoring,Not reported,FWHM = 5,High-pass,0.01,Not reported,Not reported,Not reported,Not reported,NETWORKS,2,264,Default Mode Network (DMN); Fronto-parietal Network (FPN),Power,Sliding window,60.2,10.75,Not applicable,No states,Not applicable,Dwell time; Fraction time; Number of transitions,Not reported,Upon request,Not reported ,Not applicable (Method does not define states),DMN dynamics are related to better memory; a finding also observed in PD patients without Mild Cognitive Impairment.,Not Applicable,Neutral/Descriptive Finding,Not Applicable,Not Applicable,Dynamic connectivity of the Default Mode Network (DMN) is specifically linked to cognitive function in PD.,Small sample; Disease duration uncontrolled; State mismatch (scan OFF vs test ON); Head-motion artifacts
X33852889,Gan C; Ma K; Wang L; Si Q; Wang M; Yuan Y; Zhang K,2021,Brain Research,10.1016/j.brainres.2021.147477,45,Not reported,Not reported,64.4,8.5,Not reported,Not reported,Not reported,Not reported,26,19,Not reported,Not reported,Not reported,Not reported,2,0.75,Not reported,Not reported,OFF state,37,61.9,5.6,Cross-sectional,Clinical Phenotype,REM Sleep Behavior Disorder,Private,Nanjing Medical University,Resting-state,Not applicable,2000,21,240,8,3x3x3,3,Not reported,No,No,No,Yes,Yes,No,Not reported,Not reported,Not reported,Not reported,Not reported,Compliance reported: <2mm translation; <2 deg rotation,Not reported,FWHM = 6,Low-pass,Not reported,0.1,Not reported,Not reported,Not reported,NETWORKS,8,24,Auditory Network (AUD); Basal Ganglia (BG); Central Executive Network (CEN); Cerebellum (CB); Default Mode Network (DMN); Salience Network (SAL); Sensorimotor Network (SMN); Visual Network (VIS),ICA,Sliding window,40,2,K-mean,4,Elbow,Dwell time; Fraction time; Number of transitions,Not reported,Will be made available,Not reported ,State 3 (Integrated); State 4 (Segregated; most frequent); States 1 and 2 (Intermediate; network-specific),PD patients spend less time in an integrated state compared to HCs.,PD with REM sleep behavior disorder (RBD) spend more time in a segregated state than those without RBD.,Integration associated with better outcomes / Segregation with worse,Not Applicable,Not Applicable,Weaker connectivity between VIS-DMN; DMN-BG; and within the DMN in the most segregated state may be a neural substrate for REM Sleep Behavior Disorder (RBD) in PD.,Head-motion artifacts; Many temporal derivatives applied
X33852889,Gan C; Ma K; Wang L; Si Q; Wang M; Yuan Y; Zhang K,2021,Brain Research,10.1016/j.brainres.2021.147477,81,Not reported,Not reported,60.9,9,Not reported,Not reported,Not reported,Not reported,27,20.5,Not reported,Not reported,Not reported,Not reported,2,1,Not reported,Not reported,OFF state,37,61.9,5.6,Cross-sectional,Clinical Phenotype,REM Sleep Behavior Disorder,Private,Nanjing Medical University,Resting-state,Not applicable,2000,21,240,8,3x3x3,3,Not reported,No,No,No,Yes,Yes,No,Not reported,Not reported,Not reported,Not reported,Not reported,Compliance reported: <2mm translation; <2 deg rotation,Not reported,FWHM = 6,Low-pass,Not reported,0.1,Not reported,Not reported,Not reported,NETWORKS,8,24,Auditory Network (AUD); Basal Ganglia (BG); Central Executive Network (CEN); Cerebellum (CB); Default Mode Network (DMN); Salience Network (SAL); Sensorimotor Network (SMN); Visual Network (VIS),ICA,Sliding window,40,2,K-mean,4,Elbow,Dwell time; Fraction time; Number of transitions,Not reported,Will be made available,Not reported ,State 3 (Integrated); State 4 (Segregated; most frequent); States 1 and 2 (Intermediate; network-specific),PD patients spend less time in an integrated state compared to HCs.,PD with REM sleep behavior disorder (RBD) spend more time in a segregated state than those without RBD.,Integration associated with better outcomes / Segregation with worse,Not Applicable,Not Applicable,Weaker connectivity between VIS-DMN; DMN-BG; and within the DMN in the most segregated state may be a neural substrate for REM Sleep Behavior Disorder (RBD) in PD.,Head-motion artifacts; Many temporal derivatives applied
X.WOS.001128783900001,Tan; Zhiyi; Zeng; Qiaoling; Hu; Xuehan; Di; Duoduo; Chen; Lele; Lin; Zhijian; Cheng; Guanxun,2023,Frontiers in Aging Neuroscience,10.3389/fnagi.2023.1282962,16,Not reported,Not reported,70.75,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,24.5,16.25-32.50,Not reported,Not reported,2,1.0-2.0,Not reported,Not reported,OFF state,Not reported ,Not reported,Not reported,Cross-sectional,Clinical Phenotype,Excessive Daytime Sleepiness,Public ,PPMI,Resting-state,Not applicable,2500,30,240,10,3.5x3.5x3.5,3,Not reported,No,No,No,Yes,Yes,No,0.5,Not reported,3,3,Not reported,Not reported,Not reported,FWHM = 6,Low-pass,Not reported,0.15,Not reported,Not reported,Not reported,NETWORKS,7,27,Auditory Network (AUD); Basal Ganglia (BG); Central Executive Network (CEN); Cerebellum (CB); Default Mode Network (DMN); Sensorimotor Network (SMN); Visual Network (VIS),ICA,Sliding window,45,2.5,K-mean,4,Elbow,Dwell time; Fraction time; Number of transitions,Not reported,https://www.ppmi-info.org/,Not reported ,State 4 (Integrated; least frequent); State 2 (Segregated; most frequent); States 1 and 3 (Intermediate; network-specific),Patients with Excessive Daytime Sleepiness (EDS) spend more time in an integrated state; which is interpreted as not helpful.,Not Applicable,Integration associated with worse outcomes / Segregation with better,Not Applicable,Not Applicable,Strong connectivity within and between the Sensorimotor (SMN) and Visual (VIS) networks may be a pathophysiological marker for Excessive Daytime Sleepiness (EDS) in PD.,Head-motion artifacts; Small sample
X.WOS.001128783900001,Tan; Zhiyi; Zeng; Qiaoling; Hu; Xuehan; Di; Duoduo; Chen; Lele; Lin; Zhijian; Cheng; Guanxun,2023,Frontiers in Aging Neuroscience,10.3389/fnagi.2023.1282962,41,Not reported,Not reported,62,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,19,14.00-32.00,Not reported,Not reported,2,1.0-2.0,Not reported,Not reported,OFF state,Not reported ,Not reported,Not reported,Cross-sectional,Clinical Phenotype,Excessive Daytime Sleepiness,Public ,PPMI,Resting-state,Not applicable,2500,30,240,10,3.5x3.5x3.5,3,Not reported,No,No,No,Yes,Yes,No,0.5,Not reported,3,3,Not reported,Not reported,Not reported,FWHM = 6,Low-pass,Not reported,0.15,Not reported,Not reported,Not reported,NETWORKS,7,27,Auditory Network (AUD); Basal Ganglia (BG); Central Executive Network (CEN); Cerebellum (CB); Default Mode Network (DMN); Sensorimotor Network (SMN); Visual Network (VIS),ICA,Sliding window,45,2.5,K-mean,4,Elbow,Dwell time; Fraction time; Number of transitions,Not reported,https://www.ppmi-info.org/,Not reported ,State 4 (Integrated; least frequent); State 2 (Segregated; most frequent); States 1 and 3 (Intermediate; network-specific),Patients with Excessive Daytime Sleepiness (EDS) spend more time in an integrated state; which is interpreted as not helpful.,Not Applicable,Integration associated with worse outcomes / Segregation with better,Not Applicable,Not Applicable,Strong connectivity within and between the Sensorimotor (SMN) and Visual (VIS) networks may be a pathophysiological marker for Excessive Daytime Sleepiness (EDS) in PD.,Head-motion artifacts; Small sample
X37008221,Cao Y; Si Q; Tong R; Zhang X; Li C; Mao S,2023,Frontiers in Neuroscience,10.3389/fnins.2023.1116111,20,Not reported,Not reported,64.35,7.96,15.9,9.83,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1.37,0.48,Not reported,Not reported,Not reported,Not reported,OFF state,19,62.84,10.5,Longitudinal,Disease Progression,3-year follow-up,Public ,PPMI,Resting-state,Not applicable,2400,25,210,8.4,3.3x3.3x3.3,3,Not reported,No,No,No,No,Yes,No,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,FWHM = 6,Low-pass,Not reported,0.15,Not reported,Not reported,Not reported,NETWORKS,7,29,Attention Network (ATT); Auditory Network (AUD); Basal Ganglia (BG); Default Mode Network (DMN); Fronto-parietal Network (FPN); Sensorimotor Network (SMN); Visual Network (VIS),ICA,Sliding window,52.8,2.4,K-mean,4,Elbow,Dwell time; Fraction time; Number of transitions,Not reported,https://www.ppmi-info.org/,Not reported ,State 4 (Integrated; least frequent); State 3 (Segregated; most frequent); States 1 and 2 (Intermediate; network-specific),Not Applicable,Higher time spent in segregated states is related to worse motor and non-motor symptoms.,Neutral/Descriptive Finding,Not Applicable,Not Applicable,As PD progresses; patients spend more time in hypo-coupled (segregated) states; which parallels the worsening of non-motor symptoms.,Small sample; Short follow-up; No drug-naïve PD group
X37008221,Cao Y; Si Q; Tong R; Zhang X; Li C; Mao S,2023,Frontiers in Neuroscience,10.3389/fnins.2023.1116111,20,Not reported,Not reported,67.35,8,18.1,9.22,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1.7,0.47,Not reported,Not reported,Not reported,Not reported,OFF state,19,62.84,10.5,Longitudinal,Disease Progression,3-year follow-up,Public ,PPMI,Resting-state,Not applicable,2400,25,210,8.4,3.3x3.3x3.3,3,Not reported,No,No,No,No,Yes,No,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,FWHM = 6,Low-pass,Not reported,0.15,Not reported,Not reported,Not reported,NETWORKS,7,29,Attention Network (ATT); Auditory Network (AUD); Basal Ganglia (BG); Default Mode Network (DMN); Fronto-parietal Network (FPN); Sensorimotor Network (SMN); Visual Network (VIS),ICA,Sliding window,52.8,2.4,K-mean,4,Elbow,Dwell time; Fraction time; Number of transitions,Not reported,https://www.ppmi-info.org/,Not reported ,State 4 (Integrated; least frequent); State 3 (Segregated; most frequent); States 1 and 2 (Intermediate; network-specific),Not Applicable,Higher time spent in segregated states is related to worse motor and non-motor symptoms.,Neutral/Descriptive Finding,Not Applicable,Not Applicable,As PD progresses; patients spend more time in hypo-coupled (segregated) states; which parallels the worsening of non-motor symptoms.,Small sample; Short follow-up; No drug-naïve PD group
